"","ID","StateProv","StationName"
"1","USW00000102 ","AK"," BOB BARKER MEMORIAL AP        "
"2","USW00000103 ","AK"," WALES AP                      "
"3","USW00000111 ","AK"," SHAKTOOLIK AP                 "
"4","USW00000113 ","AK"," ROBERT CURTIS MEMORIAL AP     "
"5","USW00000130 ","TX"," PLEASANTON MUNI AP            "
"6","USW00000132 ","WI"," WAUTOMA MUNI AP               "
"7","USW00000133 ","AR"," CLINTON MUNI AP               "
"8","USW00000153 ","VA"," CHESTERFIELD CO AP            "
"9","USW00000154 ","VA"," HAMPTON ROADS EXECUTIVE AP    "
"10","USW00000157 ","CO"," WALDEN JACKSON COUNTY AP      "
"11","USW00000160 ","CO"," BOULDER MUNI AP               "
"12","USW00000166 ","TX"," LAGO VISTA RUSTY ALLEN AP     "
"13","USW00000176 ","TX"," STEPHENS COUNTY AP            "
"14","USW00000177 ","TX"," CASTROVILLE MUNI AIRPORT      "
"15","USW00000209 ","TX"," BOWIE MUNI AP                 "
"16","USW00000225 ","TX"," HORSESHOE BAY RESORT AP       "
"17","USW00000229 ","TX"," LAMPASAS AP                   "
"18","USW00000230 ","TX"," AUSTIN EXECUTIVE AP           "
"19","USW00000263 ","TX"," BOERNE STAGE FIELD AP         "
"20","USW00000270 ","TX"," FAITH RCH AP                  "
"21","USW00000349 ","TX"," ANDREWS COUNTY AP             "
"22","USW00000351 ","TX"," CAMERON MUNI AP               "
"23","USW00000357 ","TX"," HAMILTON MUNI AP              "
"24","USW00000362 ","TX"," GATESVILLE MUNI AP            "
"25","USW00000369 ","CA"," MCOLF CAMP PENDLETON RED BEACH"
"26","USW00000373 ","AR"," HARRELL FIELD AP              "
"27","USW00000393 ","AK"," TELLER AP                     "
"28","USW00000428 ","AR"," DEXTER B FLORENCE MEM FLD AP  "
"29","USW00000448 ","TX"," RALPH M HALL ROCKWALL MUNI AP "
"30","USW00000461 ","TX"," MEXIA LIMESTONE COUNTY AP     "
"31","USW00000471 ","TX"," PRESIDIO LELY INTL AP         "
"32","USW00000477 ","TX"," ROGER M DREYER MEM AP         "
"33","USW00000490 ","AK"," SHUNGNAK AP                   "
"34","USW00003012 ","NM"," TAOS MUNI AP                  "
"35","USW00003013 ","CO"," LAMAR MUNI AP                 "
"36","USW00003016 ","CO"," RIFLE GARFIELD CO AP          "
"37","USW00003017 ","CO"," DENVER INTL AP                "
"38","USW00003024 ","TX"," BORGER HUTCHINSON CO AP       "
"39","USW00003026 ","CO"," BURLINGTON CARSON AP          "
"40","USW00003027 ","NM"," CLINES CORNERS                "
"41","USW00003028 ","CO"," SPRINGFIELD COMANCHE NATL GRAS"
"42","USW00003029 ","AZ"," WINDOW ROCK AP                "
"43","USW00003030 ","OK"," GUYMON MUNI AP                "
"44","USW00003031 ","TX"," ODESSA SCHLEMEYER FLD         "
"45","USW00003032 ","TX"," DRYDEN TERRELL CO AP          "
"46","USW00003035 ","NM"," ARTESIA MUNI AP               "
"47","USW00003038 ","CO"," RED CLIFF PASS                "
"48","USW00003040 ","CO"," MONUMENT PASS                 "
"49","USW00003044 ","TX"," BIG SPRING WRINKLE AP         "
"50","USW00003047 ","TX"," MONAHANS 6 ENE                "
"51","USW00003048 ","NM"," SOCORRO 20 N                  "
"52","USW00003049 ","TX"," ALPINE CASPARIS AP            "
"53","USW00003050 ","TX"," SNYDER WINSTON FLD AP         "
"54","USW00003054 ","TX"," MULESHOE 19 S                 "
"55","USW00003055 ","OK"," GOODWELL 2 E                  "
"56","USW00003056 ","TX"," GAINES CO AP                  "
"57","USW00003058 ","TX"," PECOS MUNI AP                 "
"58","USW00003060 ","CO"," MONTROSE 11 ENE               "
"59","USW00003061 ","CO"," CORTEZ 8 SE                   "
"60","USW00003062 ","NM"," LOS ALAMOS 13 W               "
"61","USW00003063 ","CO"," LA JUNTA 17 WSW               "
"62","USW00003067 ","KS"," OAKLEY 19 SSW                 "
"63","USW00003068 ","CO"," BULLSEYE AUX AIRFIELD         "
"64","USW00003071 ","TX"," MIDLAND AIRPARK               "
"65","USW00003072 ","TX"," BRONTE 11 NNE                 "
"66","USW00003074 ","NM"," LAS CRUCES 20 N               "
"67","USW00003075 ","NM"," DULCE 1 NW                    "
"68","USW00003076 ","CO"," GRAND JUNCTION 9 W            "
"69","USW00003077 ","AZ"," HOLBROOK 17 ESE               "
"70","USW00003078 ","CO"," EADS 16 ENE                   "
"71","USW00003079 ","CO"," SAGUACHE 2 WNW                "
"72","USW00003080 ","NM"," RESERVE 1 W                   "
"73","USW00003081 ","UT"," TROPIC 9 SE                   "
"74","USW00003082 ","NM"," CARRIZOZO 1 W                 "
"75","USW00003083 ","CO"," STRATTON 24 N                 "
"76","USW00003084 ","CO"," CENTER A 4 SSW                "
"77","USW00003085 ","AZ"," BOWIE 23 SSE                  "
"78","USW00003086 ","CO"," SPRINGFIELD 6 WSW             "
"79","USW00003087 ","NM"," SANTA FE 20 WNW               "
"80","USW00003088 ","CO"," WOODLAND PARK 14 WSW          "
"81","USW00003089 ","CO"," ROCKY FORD 1 ESE              "
"82","USW00003090 ","NM"," TAOS 27 NW                    "
"83","USW00003091 ","CO"," KIM 9 WSW                     "
"84","USW00003092 ","NM"," RATON 26 ESE                  "
"85","USW00003093 ","CO"," GENOA 35 N                    "
"86","USW00003094 ","NM"," CLAYTON 3 ENE                 "
"87","USW00003095 ","NM"," MILLS 6 WSW                   "
"88","USW00003096 ","CO"," RIFLE 23 NW                   "
"89","USW00003097 ","NM"," MOUNTAINAIR 2 WSW             "
"90","USW00003098 ","CO"," EAGLE 13 SSE                  "
"91","USW00003099 ","CO"," CRAIG 30 N                    "
"92","USW00003102 ","CA"," ONTARIO INTL AP               "
"93","USW00003103 ","AZ"," FLAGSTAFF AP                  "
"94","USW00003104 ","CA"," DESERT RESORTS RGNL AP        "
"95","USW00003109 ","NV"," CAMP MERCURY                  "
"96","USW00003122 ","CA"," TORRANCE AP                   "
"97","USW00003124 ","AZ"," FORT HUACHUCA                 "
"98","USW00003125 ","AZ"," YUMA PROVING GROUND           "
"99","USW00003129 ","CA"," MOJAVE MCAS                   "
"100","USW00003131 ","CA"," SAN DIEGO MONTGOMERY FLD      "
"101","USW00003144 ","CA"," IMPERIAL CO AP                "
"102","USW00003145 ","AZ"," YUMA MCAS                     "
"103","USW00003154 ","CA"," CAMP PENDLETON MCAS           "
"104","USW00003159 ","CA"," LANCASTER                     "
"105","USW00003160 ","NV"," DESERT ROCK AP                "
"106","USW00003162 ","AZ"," PAGE MUNI AP                  "
"107","USW00003163 ","NV"," CALIENTE                      "
"108","USW00003164 ","CA"," CAMPO ASOS                    "
"109","USW00003166 ","CA"," FULLERTON MUNI AP             "
"110","USW00003167 ","CA"," HAWTHORNE MUNI AP             "
"111","USW00003170 ","NV"," EUREKA AP                     "
"112","USW00003171 ","CA"," RIVERSIDE MUNI AP             "
"113","USW00003177 ","CA"," CARLSBAD MCCLELLAN PALOMAR AP "
"114","USW00003178 ","CA"," SAN DIEGO BROWN FLD           "
"115","USW00003179 ","CA"," CHINO AP                      "
"116","USW00003184 ","AZ"," PHOENIX DEER VALLEY MUNI AP   "
"117","USW00003185 ","AZ"," MESA FALCON FLD               "
"118","USW00003192 ","AZ"," SCOTTSDALE MUNI AP            "
"119","USW00003195 ","AZ"," GRAND CANYON NP AP            "
"120","USW00003196 ","AZ"," NOGALES INTL AP               "
"121","USW00003728 ","SC"," MCCLELLANVILLE 7 NE           "
"122","USW00003733 ","WV"," ELKINS 21 ENE                 "
"123","USW00003739 ","VA"," CAPE CHARLES 5 ENE            "
"124","USW00003749 ","MD"," CAMP DAVID                    "
"125","USW00003757 ","MD"," ST INIGOES WEBSTER NOLF       "
"126","USW00003758 ","NC"," DURHAM 11 W                   "
"127","USW00003759 ","VA"," CHARLOTTESVILLE 2 SSE         "
"128","USW00003761 ","PA"," AVONDALE 2 N                  "
"129","USW00003802 ","WV"," CLARKSBURG BENEDUM AP         "
"130","USW00003804 ","WV"," PARKERSBURG AP                "
"131","USW00003809 ","TN"," DYERSBURG MUNI AP             "
"132","USW00003810 ","NC"," HICKORY FAA AP                "
"133","USW00003811 ","TN"," JACKSON MCKELLAR- SIPES AP    "
"134","USW00003812 ","NC"," ASHEVILLE AP                  "
"135","USW00003813 ","GA"," MACON MIDDLE GA RGNL AP       "
"136","USW00003814 ","KY"," CORBIN CAA AP                 "
"137","USW00003815 ","FL"," PENSACOLA NAS                 "
"138","USW00003816 ","KY"," PADUCAH                       "
"139","USW00003817 ","MO"," MALDEN FAA AP                 "
"140","USW00003818 ","FL"," MARIANNA MUNI AP              "
"141","USW00003820 ","GA"," AUGUSTA BUSH FLD AP           "
"142","USW00003822 ","GA"," SAVANNAH INTL AP              "
"143","USW00003838 ","IL"," VANDALIA FAA AP               "
"144","USW00003839 ","TN"," NASHVILLE BERRY FLD AF        "
"145","USW00003841 ","TN"," OAK RIDGE ATDD                "
"146","USW00003843 ","FL"," PIERCE FLD AAFB               "
"147","USW00003844 ","FL"," DUKE FLD AAFB                 "
"148","USW00003847 ","TN"," CROSSVILLE MEM AP             "
"149","USW00003849 ","KY"," LONDON CORBIN AP              "
"150","USW00003850 ","AL"," CAIRNS FLD FT RUCKER          "
"151","USW00003852 ","FL"," VALPARAISO HURLBURT FLD       "
"152","USW00003853 ","FL"," MAYPORT PILOT STN             "
"153","USW00003855 ","FL"," PENSACOLA FOREST SHERMAN NAS  "
"154","USW00003856 ","AL"," HUNTSVILLE INTNL AP           "
"155","USW00003858 ","SC"," EASTOVER MCENTIRE ANG         "
"156","USW00003859 ","WV"," BLUEFIELD MERCER CO AP        "
"157","USW00003860 ","WV"," HUNTINGTON TRI-STATE AP       "
"158","USW00003866 ","MS"," MERIDIAN NAAS                 "
"159","USW00003867 ","OH"," SPRINGFIELD AF                "
"160","USW00003868 ","IN"," TERRE HAUTE HULMAN RGNL AP    "
"161","USW00003870 ","SC"," GREER                         "
"162","USW00003871 ","OH"," CINCINNATI WSO CITY           "
"163","USW00003872 ","WV"," BECKLEY RALEIGH CO AP         "
"164","USW00003874 ","GA"," FT BENNING MCKENNA            "
"165","USW00003875 ","GA"," FT STEWART WRIGHT             "
"166","USW00003876 ","FL"," VALPARAISO                    "
"167","USW00003878 ","AL"," TROY MUNI AP                  "
"168","USW00003881 ","AL"," CENTREVILLE 6 SW              "
"169","USW00003882 ","FL"," PANAMA CITY BAY CO AP         "
"170","USW00003883 ","AL"," BIRMINGHAM WSFO               "
"171","USW00003887 ","IL"," DECATUR AP                    "
"172","USW00003888 ","GA"," ATLANTA FULTON CO AP          "
"173","USW00003889 ","KY"," JACKSON                       "
"174","USW00003892 ","AL"," AUBURN OPELIKA AP             "
"175","USW00003893 ","IN"," BLOOMINGTON MONROE CO AP      "
"176","USW00003894 ","TN"," CLARKSVILLE OUTLAW AP         "
"177","USW00003896 ","AL"," GADSDEN MUNI AP               "
"178","USW00003901 ","TX"," LONGVIEW E TX RGNL AP         "
"179","USW00003902 ","TX"," ROBERT GRAY AAF               "
"180","USW00003904 ","TX"," COLLEGE STN EASTERWOOD FLD    "
"181","USW00003918 ","AR"," FLIPPIN MARION CO RGNL AP     "
"182","USW00003919 ","KS"," SALINA MUNI AP                "
"183","USW00003923 ","KS"," WICHITA MCCONNELL AFB         "
"184","USW00003927 ","TX"," DAL-FTW WSCMO AP              "
"185","USW00003928 ","KS"," WICHITA                       "
"186","USW00003929 ","MO"," KANSAS CITY R GEBAUR AP       "
"187","USW00003930 ","AR"," LITTLE ROCK AFB               "
"188","USW00003931 ","LA"," FT POLK AAF                   "
"189","USW00003932 ","OK"," CLINTON-SHERMAN AP            "
"190","USW00003933 ","TX"," FT HOOD                       "
"191","USW00003934 ","LA"," NEW IBERIA NAAS               "
"192","USW00003935 ","MO"," CAPE GIRARDEAU MUNI AP        "
"193","USW00003936 ","KS"," MANHATTAN ASOS                "
"194","USW00003937 ","LA"," LAKE CHARLES                  "
"195","USW00003938 ","MO"," WAYNESVILLE REGNL AP          "
"196","USW00003940 ","MS"," JACKSON INTL AP               "
"197","USW00003943 ","TX"," MINERAL WELLS WOLTERS AF      "
"198","USW00003944 ","TX"," PALO PINTO DEMPSEY AF         "
"199","USW00003945 ","MO"," COLUMBIA RGNL AP              "
"200","USW00003947 ","MO"," KANSAS CITY INTL AP           "
"201","USW00003949 ","LA"," PEASON RIDGE RANGE            "
"202","USW00003950 ","OK"," LAWTON MUNI AP                "
"203","USW00003951 ","TX"," LONGVIEW WSMO                 "
"204","USW00003952 ","AR"," LITTLE ROCK                   "
"205","USW00003953 ","AR"," JONESBORO MUNI AP             "
"206","USW00003954 ","OK"," OKLAHOMA CITY WILEY POST AP   "
"207","USW00003957 ","KS"," MEDICINE LODGE 1E             "
"208","USW00003959 ","OK"," BARTLESVILLE MUNI AP          "
"209","USW00003960 ","IL"," CAHOKIA ST LOUIS DWTN AP      "
"210","USW00003961 ","MS"," NATCHEZ ADAM CO AP            "
"211","USW00003962 ","AR"," HOT SPRINGS ASOS              "
"212","USW00003963 ","MO"," JEFFERSON CITY MEM AP         "
"213","USW00003965 ","OK"," STILLWATER RGNL AP            "
"214","USW00003966 ","MO"," ST LOUIS SPIRIT OF ST LOUIS AP"
"215","USW00003967 ","KS"," OLATHE JOHNSON CO EXECUTIVE AP"
"216","USW00003969 ","TX"," STEPHENVILLE CLARK FLD        "
"217","USW00003971 ","TX"," DALLAS REDBIRD AP             "
"218","USW00003974 ","KS"," WICHITA COLONEL JAMES JABARA A"
"219","USW00003975 ","MO"," POPLAR BLUFF MUNI AP          "
"220","USW00003978 ","AR"," BENTONVILLE MUNI AP           "
"221","USW00003981 ","OK"," ALTUS AFB                     "
"222","USW00003985 ","TX"," FORT WORTH SPINKS AP          "
"223","USW00003991 ","TX"," DENTON MUNICPAL AP            "
"224","USW00003994 ","MO"," SEDALIA MEM AP                "
"225","USW00003996 ","LA"," TALLULAH VICKSBURG RGNL AP    "
"226","USW00003997 ","KS"," LAWRENCE ASOS                 "
"227","USW00003998 ","KS"," PARSONS TRI CITY AP           "
"228","USW00003999 ","TX"," BURNET MUNI AP                "
"229","USW00004109 ","ID"," LOWELL THREE RIVERS RESORT    "
"230","USW00004110 ","ID"," JEROME CO AP                  "
"231","USW00004111 ","WY"," EVANSTON UINTA CO BURNS FLD   "
"232","USW00004112 ","ID"," STANLEY RS                    "
"233","USW00004113 ","OR"," HERMISTON MUNI AP             "
"234","USW00004114 ","ID"," CHALLIS AP                    "
"235","USW00004125 ","OR"," JOHN DAY 35 WNW               "
"236","USW00004126 ","ID"," ARCO 17 SW                    "
"237","USW00004127 ","ID"," MURPHY 10 W                   "
"238","USW00004128 ","OR"," RILEY 10 WSW                  "
"239","USW00004130 ","MT"," ST. MARY 1 SSW                "
"240","USW00004131 ","WY"," MOOSE 1 NNE                   "
"241","USW00004134 ","UT"," GRANITE PEAK DUGWAY PROVING GR"
"242","USW00004136 ","WA"," SPOKANE 17 SSW                "
"243","USW00004137 ","MT"," DILLON 18 WSW                 "
"244","USW00004138 ","UT"," BRIGHAM CITY 28 WNW           "
"245","USW00004139 ","NV"," DENIO 52 WSW                  "
"246","USW00004140 ","MT"," LEWISTOWN 42 WSW              "
"247","USW00004141 ","OR"," COOS BAY 8 SW                 "
"248","USW00004143 ","UT"," PROVO 22 E                    "
"249","USW00004201 ","OR"," SCAPPOOSE IND AP              "
"250","USW00004205 ","WA"," ARLINGTON MUNI AP             "
"251","USW00004222 ","CA"," REDDING 12 WNW                "
"252","USW00004223 ","WA"," DARRINGTON 21 NNE             "
"253","USW00004236 ","OR"," CORVALLIS 10 SSW              "
"254","USW00004237 ","WA"," QUINAULT 4 NE                 "
"255","USW00004720 ","NY"," JAMESTOWN                     "
"256","USW00004724 ","NY"," NIAGARA FALLS INTL AP         "
"257","USW00004725 ","NY"," BINGHAMTON                    "
"258","USW00004726 ","PA"," JOHNSTOWN CAMBRIA CO AP       "
"259","USW00004727 ","NY"," GENEVA SAMPSON AFB            "
"260","USW00004739 ","NJ"," BELMAR ASC                    "
"261","USW00004742 ","NY"," PLATTSBURGH INTL AP           "
"262","USW00004743 ","NH"," PORTSMOUTH PEASE AFB          "
"263","USW00004751 ","PA"," BRADFORD RGNL AP              "
"264","USW00004769 ","MA"," MAYNARD                       "
"265","USW00004779 ","MA"," FT DEVENS AAF                 "
"266","USW00004780 ","MA"," FITCHBURG MUNI AP             "
"267","USW00004781 ","NY"," ISLIP-LI MACARTHUR AP         "
"268","USW00004782 ","NY"," SCHENECTADY                   "
"269","USW00004783 ","NJ"," BELMAR MONMOUTH AAF           "
"270","USW00004787 ","PA"," DUBOIS RGNL AP                "
"271","USW00004789 ","NY"," MONTGOMERY ORANGE CO AP       "
"272","USW00004803 ","WI"," RHINELANDER ONEIDA CO AP      "
"273","USW00004804 ","OH"," COLUMBUS OHIO STATE UNIV AP   "
"274","USW00004808 ","IL"," CHICAGO AURORA MUNI AP        "
"275","USW00004824 ","WI"," STURGEON BAY AP               "
"276","USW00004825 ","WI"," APPLETON OUTAGAMIE AP         "
"277","USW00004826 ","WI"," WISCONSIN RAPIDS ALEXANDER FLD"
"278","USW00004827 ","PA"," WASHINGTON CO AP              "
"279","USW00004836 ","ME"," FRENCHVILLE NTHRN AROOSTOOK AP"
"280","USW00004838 ","IL"," CHICAGO PALWAUKEE AP          "
"281","USW00004839 ","MI"," HOLLAND TULIP CITY AP         "
"282","USW00004840 ","WI"," FOND DU LAC CO AP             "
"283","USW00004841 ","WI"," SHEBOYGAN CO MEM AP           "
"284","USW00004842 ","OH"," WOOSTER WAYNE CO AP           "
"285","USW00004843 ","PA"," MEADVILLE PORT MEADVILLE AP   "
"286","USW00004845 ","WI"," KENOSHA RGNL AP               "
"287","USW00004846 ","IN"," VALPARAISO PORTER CO MUNI AP  "
"288","USW00004847 ","MI"," ADRIAN LENAWEE CO AP          "
"289","USW00004848 ","OH"," TOLEDO METCALF FLD            "
"290","USW00004849 ","OH"," ELYRIA LORAIN CO AP           "
"291","USW00004850 ","OH"," LIMA ALLEN CO AP              "
"292","USW00004851 ","OH"," DEFIANCE AP                   "
"293","USW00004852 ","OH"," NEW PHILA CLEVER FLD          "
"294","USW00004853 ","OH"," CLEVELAND BURKE LAKEFRONT AP  "
"295","USW00004854 ","MI"," GAYLORD OTSEGO CO AP          "
"296","USW00004855 ","OH"," MARION MUNI AP                "
"297","USW00004856 ","MI"," MANISTIQUE                    "
"298","USW00004857 ","OH"," ASHTABULA CO AP               "
"299","USW00004858 ","OH"," NEWARK HEATH AP               "
"300","USW00004864 ","WI"," ANTIGO LANGLADE CO AP         "
"301","USW00004869 ","MI"," CHIPPEWA INTL AP              "
"302","USW00004891 ","WI"," MERRILL MUNI AP               "
"303","USW00004895 ","WI"," STEVENS POINT MUNI AP         "
"304","USW00004901 ","NE"," AURORA MUNI AP                "
"305","USW00004902 ","MN"," AUSTIN MUNI AP                "
"306","USW00004916 ","IA"," DECORAH MUNI AP               "
"307","USW00004927 ","MN"," PRESTONE FILLMORE AP          "
"308","USW00004935 ","NE"," HOLDREGE BREWSTER FLD AP      "
"309","USW00004955 ","IA"," OELWEIN MUNI AP               "
"310","USW00004956 ","MN"," WINONA MUNI AP                "
"311","USW00004963 ","WI"," PRAIRIE DU CHIEN AP           "
"312","USW00004967 ","MN"," RED WING RGNL AP              "
"313","USW00004978 ","MN"," DODGE CTR AP                  "
"314","USW00004990 ","SD"," SIOUX FALLS 14 NNE            "
"315","USW00004994 ","MN"," GOODRIDGE 12 NNW              "
"316","USW00004998 ","NE"," HEBRON MUNI AP                "
"317","USW00012804 ","FL"," AVON PARK GUNNERY RANGE       "
"318","USW00012809 ","FL"," BARTOW MUNI AP                "
"319","USW00012810 ","FL"," MACDILL AFB                   "
"320","USW00012812 ","FL"," PUNTA GORDA CHARLOTTE CO AP   "
"321","USW00012815 ","FL"," ORLANDO INTL AP               "
"322","USW00012816 ","FL"," GAINESVILLE RGNL AP           "
"323","USW00012818 ","FL"," BROOKSVILLE HERNANDO CO AP    "
"324","USW00012819 ","FL"," LEESBURG MUNI AP              "
"325","USW00012824 ","FL"," ORLANDO AAF                   "
"326","USW00012826 ","FL"," HOMESTEAD AFB                 "
"327","USW00012832 ","FL"," APALACHICOLA AP               "
"328","USW00012833 ","FL"," CROSS CITY AP                 "
"329","USW00012834 ","FL"," DAYTONA BEACH INTL AP         "
"330","USW00012835 ","FL"," FT MYERS PAGE FLD AP          "
"331","USW00012836 ","FL"," KEY W INTL AP                 "
"332","USW00012837 ","FL"," LAKELAND                      "
"333","USW00012838 ","FL"," MELBOURNE INTL AP             "
"334","USW00012839 ","FL"," MIAMI INTL AP                 "
"335","USW00012841 ","FL"," ORLANDO EXECUTIVE AP          "
"336","USW00012842 ","FL"," TAMPA INTL AP                 "
"337","USW00012843 ","FL"," VERO BEACH INTL AP            "
"338","USW00012844 ","FL"," W PALM BEACH INTL AP          "
"339","USW00012847 ","FL"," DELAND NAS                    "
"340","USW00012849 ","FL"," FT LAUDERDALE INTL AP         "
"341","USW00012850 ","FL"," KEY WEST NAS                  "
"342","USW00012851 ","FL"," MELBOURNE NAS                 "
"343","USW00012852 ","FL"," MIAMI MCAS                    "
"344","USW00012853 ","FL"," RICHMOND NAS                  "
"345","USW00012854 ","FL"," ORLANDO SANFORD AP            "
"346","USW00012855 ","FL"," VERO BEACH NAS                "
"347","USW00012858 ","FL"," KEY WEST                      "
"348","USW00012859 ","FL"," MIAMI WSO CITY                "
"349","USW00012861 ","FL"," OCALA JIM TAYLOR FLD          "
"350","USW00012863 ","LA"," BURRWOOD WB                   "
"351","USW00012867 ","FL"," COCOA BEACH PATRICK AFB       "
"352","USW00012868 ","FL"," CAPE KENNEDY AFS              "
"353","USW00012871 ","FL"," SARASOTA BRADENTON AP         "
"354","USW00012873 ","FL"," ST PETERSBURG CLEARWATER INTL "
"355","USW00012876 ","FL"," WINTER HAVEN GILBERT AP       "
