temp,precip,created_at,location_id
-8.9,0,2013-01-01,1SQPTEGYPH0GA
-5,0,2013-01-02,1SQPTEGYPH0GA
-5,0,2013-01-03,1SQPTEGYPH0GA
-0.5499999999999998,0,2013-01-04,1SQPTEGYPH0GA
-3.0500000000000003,0,2013-01-05,1SQPTEGYPH0GA
-1.1499999999999995,0,2013-01-06,1SQPTEGYPH0GA
3.0999999999999996,0,2013-01-07,1SQPTEGYPH0GA
4.199999999999999,0,2013-01-08,1SQPTEGYPH0GA
5,0,2013-01-09,1SQPTEGYPH0GA
1.95,0,2013-01-10,1SQPTEGYPH0GA
-5.8500000000000005,2,2013-01-11,1SQPTEGYPH0GA
-18.299999999999997,0,2013-01-12,1SQPTEGYPH0GA
-17.5,0,2013-01-13,1SQPTEGYPH0GA
-16.65,0,2013-01-14,1SQPTEGYPH0GA
-10.25,0,2013-01-15,1SQPTEGYPH0GA
1.9500000000000002,0,2013-01-16,1SQPTEGYPH0GA
1.4000000000000004,0,2013-01-17,1SQPTEGYPH0GA
6.65,0,2013-01-18,1SQPTEGYPH0GA
5,0,2013-01-19,1SQPTEGYPH0GA
-0.8000000000000003,0,2013-01-20,1SQPTEGYPH0GA
2.5,0,2013-01-21,1SQPTEGYPH0GA
7.5,0,2013-01-22,1SQPTEGYPH0GA
8.05,0,2013-01-23,1SQPTEGYPH0GA
8.35,0,2013-01-24,1SQPTEGYPH0GA
6.699999999999999,0,2013-01-25,1SQPTEGYPH0GA
3.8999999999999995,0.3,2013-01-26,1SQPTEGYPH0GA
6.4,0,2013-01-27,1SQPTEGYPH0GA
5,4.8,2013-01-28,1SQPTEGYPH0GA
-5.55,0.8,2013-01-29,1SQPTEGYPH0GA
-6.949999999999999,0,2013-01-30,1SQPTEGYPH0GA
-0.5500000000000003,0,2013-01-31,1SQPTEGYPH0GA
1.6500000000000004,0,2013-02-01,1SQPTEGYPH0GA
4.15,0,2013-02-02,1SQPTEGYPH0GA
3.9000000000000004,0,2013-02-03,1SQPTEGYPH0GA
3.9000000000000004,0,2013-02-04,1SQPTEGYPH0GA
