,location_id,exact_duplicate_count,exact_duplicate_total,non_exact_id_duplicates_count,non_exact_id_duplicates_total,rows_delivered,unique_rows_received
0,0RJH3FFPYBPEY,0,0,0,0,24524,24524
1,1SQPTEGYPH0GA,90734,122778,0,0,341128,218350
2,3AXDVZJYN9DRS,88567,121528,0,0,342233,220705
3,75WYSXR9QBK5M,0,0,0,0,28842,28842
4,78AY09MVJVTYE,0,0,0,0,189925,189925
5,9XKJD8DQTH559,0,0,0,0,143360,143360
6,AQD04SM0J92WA,140990,200077,0,0,534301,334224
7,C0BE4NDSW26QN,317351,442149,0,0,1165964,723815
8,CB2KHY1C2G9PT,0,0,0,0,154762,154762
9,EMBVNVD207CC6,138867,188289,0,0,526204,337915
10,JHDN7CF1C03X5,0,0,0,0,259386,259386
11,L3XS7WSJ4AJA3,0,0,0,0,66721,66721
12,L69HYJ4Y3TR91,0,0,0,0,55359,55359
13,LBMCPAYT7W36V,0,0,0,0,58983,58983
14,LBZEEFSBJNB3Z,0,0,0,0,59833,59833
15,LFZFT3VASXPED,0,0,0,0,34750,34750
16,LQ5EH4BKGV61T,0,0,0,0,25750,25750
17,LZ5MR1TS37E7W,0,0,0,0,5636,5636
18,MS8R16DY0JQAM,0,0,0,0,129211,129211
19,N0PC58FB2XAZ3,0,0,0,0,17448,17448
20,S8MT0YGD2KTN9,3918,3918,0,0,115569,111651
21,SAFK7ND1HR6XS,6693,6693,0,0,104195,97502
22,SRQS8F7JWA9MZ,0,0,0,0,188891,188891
23,V3Q26BHF3SE2H,0,0,0,0,161108,161108
24,W8T41JZK0ZMEP,0,0,0,0,208748,208748
25,WJA3YCD4QBWRX,0,0,0,0,20877,20877
26,1G5AJ17XCH2A8,0,0,0,0,51253,51253
27,ADPFRN3QZRCXK,0,0,0,0,108612,108612
28,ED5J990H5VAZT,181004,246029,0,0,675680,429651
29,2HRX9P6HKXA8V,342958,468731,0,0,1303297,834566
