item_name,animal_categories,reasoning,vegan,vegetarian,mpbamodifiable
BBQ Chicken Sausage,['sausage'],BBQ chicken sausage [FIXED: Chicken sausage → sausage format],False,False,False
Baked Goods,"['sweet_dairy', 'egg']",Baked goods - pastries,False,True,False
Bento,['sausage'],Bento box with sausage,False,False,False
Bratwurst,['sausage'],Pork bratwurst,False,False,False
Breakfast Sausage,['breakfast_sausage_patty'],Breakfast sausage - pork,False,False,False
Chicken Pesto Sausage,['sausage'],Chicken pesto sausage [FIXED: Chicken sausage → sausage format],False,False,False
Fries/Tots,[],Fries or tater tots,True,True,False
Ginger Miso Sausage,['sausage'],Ginger miso pork sausage,False,False,False
Hot Dogs,['sausage'],Hot dogs,False,False,False
Italian Sausage,['sausage'],Italian pork sausage,False,False,False
Jerky,['chunked_beef_or_pork'],Beef/pork jerky,False,False,False
Pizza,"['savory_dairy', 'sausage']",Pizza with sausage,False,False,False
Polish Kielbasa,['sausage'],Polish kielbasa sausage,False,False,False
Portuguese Sausage,['sausage'],Portuguese sausage,False,False,False
Sliders,"['beef_or_pork_burger', 'bacon', 'savory_dairy']",BBQ bacon sliders,False,False,False
Spicy Korean Sausage,['sausage'],Spicy Korean sausage,False,False,False
Wings,['fried_chicken'],Chicken wings [FIXED: Wings are typically fried],False,False,False
2 Baked Goods,"['sweet_dairy', 'egg']",2 baked goods,False,True,False
3 Baked Goods,"['sweet_dairy', 'egg']",3 baked goods,False,True,False
4 Baked Goods,"['sweet_dairy', 'egg']",4 baked goods,False,True,False
5 Baked Goods,"['sweet_dairy', 'egg']",5 baked goods,False,True,False
6 Baked Goods,"['sweet_dairy', 'egg']",6 baked goods,False,True,False
Bread Loaf,[],Bread loaf,True,True,False
Char Siu,['chunked_beef_or_pork'],Char siu pork,False,False,False
Chorizo,['sausage'],Chorizo sausage,False,False,False
Chicken Salad,"['unfried_chicken', 'savory_dairy']",Chicken salad - may have mayo,False,False,False
Chicken Lettuce Wrap,['unfried_chicken'],Chicken lettuce wrap,False,False,False
Empanada,"['chunked_beef_or_pork', 'savory_dairy']",Meat empanada,False,False,False
Fried Rice,['egg'],Fried rice with egg,False,True,False
Guisantes Plate,['sausage'],Guisantes plate with sausage,False,False,False
Island Po Boy,['sausage'],Po boy sandwich with sausage,False,False,False
Kimchee,[],Kimchi side,True,True,False
Kimchee Quesadilla,['savory_dairy'],Kimchi quesadilla with cheese,False,True,False
Plate Lunch,['sausage'],Plate lunch with meat,False,False,False
Salami,['sausage'],Salami,False,False,False
Plain Sausage,['sausage'],Plain pork sausage,False,False,False
Sausage Single,['sausage'],Single sausage,False,False,False
Sausage Topping,['sausage'],Sausage topping add-on,False,False,False
Sausages,['sausage'],Multiple sausages,False,False,False
Kalbi Sausage,['sausage'],Kalbi (beef) style sausage,False,False,False
Steak Mushroom Sausage,['chunked_beef_or_pork'],Steak mushroom sausage,False,False,False
Corned Beef Sausage,['chunked_beef_or_pork'],Corned beef sausage,False,False,False
5 Wed Special,['sausage'],Wednesday $5 special,False,False,False
Wed Special,['sausage'],Wednesday special,False,False,False
Bbq,['chunked_beef_or_pork'],BBQ meat,False,False,False
Chicken Sandwich,['unfried_chicken'],Chicken sandwich,False,False,False
BBQ,['chunked_beef_or_pork'],BBQ item,False,False,False
Chicken,['unfried_chicken'],Chicken item,False,False,False
Japanese Curry,"['unfried_chicken', 'sausage']",Japanese curry - usually with meat,False,False,False
Mandoo,['chunked_beef_or_pork'],Korean dumplings - pork/beef,False,False,False
Mini Manapua,['chunked_beef_or_pork'],Mini manapua - pork buns,False,False,False
Yakisoba,"['sausage', 'egg']",Yakisoba noodles with meat,False,False,False
Taegu,[],Taegu (cod roe side),True,True,False
Kamaboko Dip,[],Kamaboko dip - fish cake based,False,False,False
Edamame,[],Edamame,True,True,False
Deli Sandwich,"['sausage', 'savory_dairy']",Deli sandwich with meat,False,False,False
Firecracker Sandwich,['sausage'],Firecracker spicy sandwich,False,False,False
Italian Sandwich,"['sausage', 'savory_dairy']",Italian sandwich,False,False,False
Charcuterie,"['sausage', 'savory_dairy']",Charcuterie board,False,False,False
Finocchiona,['sausage'],Finocchiona salami,False,False,False
Pepperoni,['sausage'],Pepperoni,False,False,False
Soppressata,['sausage'],Soppressata salami,False,False,False
Smokey Sticks,['sausage'],Smokey meat sticks,False,False,False
Poke,[],Poke - raw fish,False,False,False
Salad,[],Salad,True,True,False
Pasta Salad,['savory_dairy'],Pasta salad,False,True,False
Loaded Nachos,"['savory_dairy', 'sausage']",Loaded nachos with meat and cheese,False,False,False
Pizzadilla,"['savory_dairy', 'sausage']",Pizza quesadilla,False,False,False
Bento/Plate,['sausage'],Bento or plate lunch,False,False,False
Chocolate Cake Slice,"['sweet_dairy', 'egg']",Chocolate cake,False,True,False
Doublefat Ice Cream,"['sweet_dairy', 'egg']",Ice cream [FIXED: Baked goods typically have egg/dairy],False,True,False
