item_name,animal_categories,reasoning,vegan,vegetarian,mpbamodifiable
Calabacitas,[],Squash dish - vegan,True,True,False
Chips & Guacamole,[],Chips and guac - vegan,True,True,False
Churros,"['sweet_dairy', 'egg']",Churros - fried dough,False,True,False
Jackfruit,[],Jackfruit taco/dish - vegan,True,True,False
Pastor,['chunked_beef_or_pork'],Al pastor - marinated pork,False,False,False
Picadillo,['ground_meat'],Picadillo - ground beef,False,False,False
Quesadilla,['savory_dairy'],Quesadilla with cheese,False,True,False
Suadero,['chunked_beef_or_pork'],Suadero - beef,False,False,False
Taco Bar,"['chunked_beef_or_pork', 'savory_dairy']",Taco bar - mixed meats,False,False,False
Wings,['fried_chicken'],Chicken wings [FIXED: Wings are typically fried],False,False,False
Taco,"['chunked_beef_or_pork', 'savory_dairy']",Taco - various meats (no vegan sub on menu),False,False,False
Asada,['chunked_beef_or_pork'],Carne asada - grilled beef,False,False,False
Burrito,"['chunked_beef_or_pork', 'savory_dairy']",Burrito - various meats (no vegan sub on menu),False,False,False
Nachos,"['savory_dairy', 'chunked_beef_or_pork']",Nachos with cheese and meat (Vegan Nachos separate item),False,False,False
Chips Guac,[],Chips and guacamole,True,True,False
2 Special,"['chunked_beef_or_pork', 'savory_dairy']",2 item special combo,False,False,False
Brunch Special,"['egg', 'sausage', 'savory_dairy']",Brunch special - eggs/chorizo,False,False,False
Fries,[],French fries,True,True,False
Extra Topping,[],Extra topping,True,True,False
Side Avocado,[],Side of avocado,True,True,False
Side Fries,[],Side of fries,True,True,False
Side Gua,[],Side of guacamole,True,True,False
Corn,[],Corn side,True,True,False
Rice Pilaf,[],Rice pilaf,True,True,False
Roasted Market Veggies,[],Roasted vegetables,True,True,False
Mushrooms,[],Mushroom side,True,True,False
Off The Menu Special,"['chunked_beef_or_pork', 'savory_dairy']",Off menu special - varies,False,False,False
Oktoberfestspecial,"['sausage', 'savory_dairy']",Oktoberfest special - sausage,False,False,False
Shrimp Special,[],Shrimp special - shellfish,False,False,False
Chilaquiles,"['egg', 'savory_dairy']",Chilaquiles with egg/cheese (Vegan Chilaquiles separate item),False,True,False
Taquitos,"['chunked_beef_or_pork', 'savory_dairy']",Taquitos - rolled tacos with beef,False,False,False
Pozole,['chunked_beef_or_pork'],Pozole - pork soup,False,False,False
All American,"['beef_or_pork_burger', 'savory_dairy', 'bacon']",All American burger,False,False,False
El Reno,"['sausage', 'savory_dairy']",El Reno hot dog,False,False,False
Mesquite Grilled Try-Tip,['chunked_beef_or_pork'],Tri-tip beef,False,False,False
Moroccan Glazed Chicken Breast,['unfried_chicken'],Moroccan chicken,False,False,False
Asian Short Rites - Dowsed With Cabernet Char Siu Glaze,['chunked_beef_or_pork'],Asian short ribs,False,False,False
"Center Stage Salad Baby Filed Greens, Candied Nuts, Blue Cheese, Cranberries - Blond Balsamic Shallot Dressing",['savory_dairy'],Center stage salad with blue cheese,False,True,False
Ceviche,[],Ceviche - fish,False,False,False
Surimi Salad,[],Surimi salad - imitation crab,False,False,False
Cheese Roll,['savory_dairy'],Cheese roll,False,True,False
Queso,['savory_dairy'],Queso dip,False,True,False
Red Rose Accordions - Oven Roasted Garlic Butter Red Roe Potato Accordions,['sweet_dairy'],Garlic butter potatoes,False,True,False
Sides,[],Various sides,True,True,False
Hot Dogs,['sausage'],Hot dogs,False,False,False
Shellfish Taco,[],Shellfish taco - shrimp/fish,False,False,False
Vegan Taco,[],Vegan taco,True,True,False
Poultry Taco,['unfried_chicken'],Chicken/turkey taco,False,False,False
Pork Taco,['chunked_beef_or_pork'],Pork taco,False,False,False
Taco Protein,['chunked_beef_or_pork'],Taco with protein - meat,False,False,False
Shellfish Taco Protein,[],Shellfish taco protein,False,False,False
Poultry Taco Protein,['unfried_chicken'],Poultry taco protein,False,False,False
Pork Taco Protein,['chunked_beef_or_pork'],Pork taco protein,False,False,False
