"item_name","animal_categories","reasoning","vegan","vegetarian","mpbamodifiable"
"BBQ Bacon","['beef_or_pork_burger', 'bacon', 'savory_dairy']","BBQ Bacon burger - double brisket patties, double cheddar, crispy bacon","False","False","False"
"Better Than Beyond","['beef_or_pork_burger', 'savory_dairy']","Plant-based patty with american cheddar - vegetarian (still has cheese)","False","True","False"
"Deluxe Cheeseburger","['beef_or_pork_burger', 'savory_dairy']","Double brisket patties with double cheddar","False","False","False"
"Quad Smash","['beef_or_pork_burger', 'savory_dairy']","4x brisket patties with 4x american cheese","False","False","False"
"Slider Cheeseburger","['beef_or_pork_burger', 'savory_dairy']","Slider size cheeseburger","False","False","False"
"Smashville","['beef_or_pork_burger', 'fried_chicken', 'savory_dairy']","The Smashville - brisket patties + fried chicken fillet + cheese","False","False","False"
"Sweet & Hot","['beef_or_pork_burger', 'savory_dairy']","Sweet & Hot burger variant","False","False","False"
"Double Chicken Cheese","['fried_chicken', 'savory_dairy']","Double fried chicken thigh with nacho cheese sauce and slaw","False","False","False"
"Hot Chicken Sandwich","['fried_chicken']","Seasoned thigh fillet with slaw and pickles","False","False","False"
"Hot Shake Popcorn Chicken","['fried_chicken']","Popcorn chicken with hot shake seasoning","False","False","False"
"Juicy Tenders","['fried_chicken']","Fried chicken tenders","False","False","False"
"Kids Nuggets","['fried_chicken']","Kids chicken nuggets","False","False","False"
"Kids Tenders","['fried_chicken']","Kids chicken tenders","False","False","False"
"Tenders","['fried_chicken']","Chicken tenders","False","False","False"
"Hot Dog","['sausage']","Classic hotdog / kids hotdog - beef hot dog","False","False","False"
"Kids Hotdog","['sausage', 'savory_dairy']","Kids hotdog with cheese option","False","False","False"
"Fries","[]","Various fries - seasoned fries, likely vegan","True","True","False"
"Seasoned Fries","[]","Seasoned fries - likely vegan","True","True","False"
"Down South Loaded Fries","['fried_chicken', 'savory_dairy']","Loaded fries with chopped hot tenders, nacho cheese, slaw","False","False","False"
"Slaw","['egg']","Creamy slaw - likely has mayo (egg-based)","False","True","False"
"Pickles","[]","The Bronx Pickles - vegan","True","True","False"
"Chipotle Mayo","['egg']","Chipotle mayo - egg-based","False","True","False"
"Franks Buffalo","[]","Buffalo sauce - typically vegan","True","True","False"
"Garlic Aioli","['egg']","Garlic aioli - egg-based","False","True","False"
"Ranch Dressing","['egg', 'savory_dairy']","Ranch dressing - has buttermilk and egg","False","True","False"
"Smashville Sauce","[]","House smashville sauce - unclear, likely has egg/dairy","False","True","False"
"Sriracha Mayo","['egg']","Sriracha mayo - egg-based","False","True","False"
"Sweet Hot","[]","Sweet hot sauce - likely vegan","True","True","False"
"Tomato Ketchup","[]","Ketchup - vegan","True","True","False"
"Hot Dust","[]","Hot dust seasoning - vegan","True","True","False"
"Solo","[]","Solo meal deal - burger, fries, drink","False","False","False"
"Netflix ""Chill""","[]","Netflix & Chill deal - 2 burgers, loaded fries, drinks","False","False","False"
"Pack","[]","Family pack deal","False","False","False"
"Add-on","[]","Add-ons - patty, GF bun","False","False","False"
"Wa-Aaa Bo-Al","[]","Mystery item - unclear what this is","False","False","False"
