index,0,1
0,2. 5-7Pm ¬¨¬£6 Pizza,2. 5-7Pm ¬£6 Pizza
1,"Brewdogs, 3 For ¬¨¬£10","Brewdogs, 3 For ¬£10"
2,Kahl‚Àö‚À´A,Kahl√∫A
0,Binary Soloô£Ø√º¬Ss√±,Binary SoloÜ§Ñ
1,Blake‚Äö√Ñ√¥S Apple Lantern 12Oz,Blake‚Äôs Apple Lantern 12Oz
2,Blake‚Äö√Ñ√¥S Grizzly Pear Cider 16,Blake‚Äôs Grizzly Pear Cider 16
3,Blake‚Äö√Ñ√¥S Rainbow Seeker 16Oz,Blake‚Äôs Rainbow Seeker 16Oz
4,Crudit‚Àö¬©S,Crudit√©S
5,Cuv‚Àö¬©E De Tomme 10Oz,Cuv√©E De Tomme 10Oz
6,Cuv‚Àö¬©E Rouge 12Oz,Cuv√©E Rouge 12Oz
7,Jalape‚Àö¬±O Burger,Jalape√±O Burger
8,Jp Best Lei‚Äö√Ñ√¥D 10Oz,Jp Best Lei‚Äôd 10Oz
9,Katô£Ø√º√®√•√Î‚Àè√®‚Äö√Ñ√Ss‚Äö√¥√Á√Î‚Àè√® 12Oz,KatÜèåô∏È‚Äç‚Ôçô∏È 12Oz
10,Kilbane‚Äö√Ñ√¥S,Kilbane‚Äôs
11,Mol‚Àö¬© Stout10,Mol√© Stout10
12,Os Dry Rose Ô£Ø√º√•Œä,Os Dry Rose Üåπ
13,Sg Bell‚Äö√Ñ√¥S Oberon,Sg Bell‚Äôs Oberon
14,Sg Cuv‚Àö¬©E De Tomme,Sg Cuv√©E De Tomme
15,Sg Cuv‚Àö¬©E Rouge,Sg Cuv√©E Rouge
16,Sg Jp Best Lei‚Äö√Ñ√¥D,Sg Jp Best Lei‚Äôd
17,Sg Katô£Ø√º√®√•√Î‚Àè√®‚Äö√Ñ√Ss‚Äö√¥√Ñ√Î‚Àè√®,Sg KatÜèåô∏È‚Äç‚Ôäô∏È
18,Sg Mol‚Àö¬©,Sg Mol√©
19,Sg Shacks Ros‚Àö¬©,Sg Shacks Ros√©
20,Sg Shacks Ros‚Àö¬Æ,Sg Shacks Ros√®
21,Sg Ô£Ø√º√•√† Seeker,Sg Üåà Seeker
22,Sh Kilbane'S Irish Stout Ô£Ø√º√Ss√Ñ,Sh Kilbane'S Irish Stout Üçä
23,Shacks Ros‚Àö¬© 16Oz,Shacks Ros√© 16Oz
24,Shacks Ros‚Àö¬Æ,Shacks Ros√®
25,Shacks Ros‚Àö¬Æ 12Oz,Shacks Ros√® 12Oz
26,Wc Rackman‚Äö√Ñ√¥S Rye Bock 16Oz,Wc Rackman‚Äôs Rye Bock 16Oz
27,Ô£Ø√º¬Ss¬¢Lichtenhainer,Ü§¢Lichtenhainer
28,Ô£Ø√º√Ü‚Àèblake‚Äö√Ñ√¥S Grizzly Pear Can,Üß∏Blake‚Äôs Grizzly Pear Can
29,Ô£Ø√º√•√† Seeker 16Oz.,Üåà Seeker 16Oz.
30,Ô£Ø√º√•√Π Gold,Üåù Gold
31,Ô£Ø√º√•√Π Gold 16Oz,Üåù Gold 16Oz
32,Ô£Ø√º√•√ª Oberon 16Oz,Üåû Oberon 16Oz
33,Ô£Ø√º√Ss‚Ñ¢ Mini Cookie,Üç™ Mini Cookie
34,Ô£Ø√º√™√¨ And Waffles Stout,Üêì And Waffles Stout
