,dishes_count,vegan_dishes_count,vegetarian_dishes_count,mpbamod_dishes_count,lamb_dishes_count,chunked_beef_or_pork_dishes_count,pulled_pork_dishes_count,beef_or_pork_burger_dishes_count,ground_meat_dishes_count,meatballs_dishes_count,sausage_dishes_count,bacon_dishes_count,breakfast_sausage_patty_dishes_count,unfried_chicken_dishes_count,fried_chicken_dishes_count,savory_dairy_dishes_count,sweet_dairy_dishes_count,egg_dishes_count
2020-02-13 00:00:00-05:00,18,9,13,4,0,0,0,1,0,0.0,0.0,0,0,3,0,5,9,7
2020-02-14 00:00:00-05:00,22,12,17,5,0,0,0,1,0,0.0,0.0,0,0,3,0,5,13,9
2020-02-15 00:00:00-05:00,25,14,20,6,0,0,0,1,0,0.0,0.0,0,0,3,0,5,16,11
2020-02-16 00:00:00-05:00,25,14,20,6,0,0,0,1,0,0.0,0.0,0,0,3,0,5,16,11
2020-02-17 00:00:00-05:00,26,15,21,6,0,0,0,1,0,0.0,0.0,0,0,3,0,6,16,11
2020-02-18 00:00:00-05:00,25,14,20,5,0,0,0,1,0,0.0,0.0,0,0,3,0,6,15,10
2020-02-19 00:00:00-05:00,25,14,20,5,0,0,0,1,0,0.0,0.0,0,0,3,0,6,15,10
2020-02-20 00:00:00-05:00,26,15,21,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,15,10
2020-02-21 00:00:00-05:00,27,16,22,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,16,10
2020-02-22 00:00:00-05:00,27,16,22,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,16,10
2020-02-23 00:00:00-05:00,27,16,22,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,16,10
2020-02-24 00:00:00-05:00,27,16,22,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,16,10
2020-02-25 00:00:00-05:00,27,16,22,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,16,10
2020-02-26 00:00:00-05:00,27,16,22,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,16,10
2020-02-27 00:00:00-05:00,27,16,22,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,16,10
2020-02-28 00:00:00-05:00,27,16,22,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,16,10
2020-02-29 00:00:00-05:00,27,16,22,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,16,10
2020-03-01 00:00:00-05:00,27,16,22,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,16,10
2020-03-02 00:00:00-05:00,27,16,22,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,16,10
2020-03-03 00:00:00-05:00,27,16,22,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,16,10
2020-03-04 00:00:00-05:00,27,16,22,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,16,10
2020-03-05 00:00:00-05:00,27,16,22,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,16,10
2020-03-06 00:00:00-05:00,27,16,22,6,0,0,0,1,0,0.0,0.0,0,0,4,0,6,16,10
