canonical_name,variants,reasoning
2 Special,['2$ Special'],
All American,['All American'],
Asada,['Asada'],
Asian Short Ribs,['Asian Short Rites - Dowsed With Cabernet Char Siu Glaze'],
Avocado,['Avo'],
B&C Burrito,"['B&C Burrito', 'BC Burrito']",
Bacon Shrimp,['Bacon Shrimp'],
Beans,['Beans'],
Brunch Special,['Brunch Special'],
Burrito,"['Break Fast Burrito', 'Breakfast Burrito', 'Burrito', 'Burrito (1)', 'Protein Burrito', 'Ranchero Burrito', 'Vegan Break Fast Burrito', 'Vegan Burrito']",
Calabacitas Taco,"['Calabacitas Taco', 'Calabazitas']",
Center Stage Salad,"['Center Stage Salad _ Baby Filed Greens, Candied Nuts, Blue Cheese, Cranberries - Blond Balsamic Shallot Dressing']",
Ceviche,['Ceviche'],
Cheese Roll,['Cheese Roll'],
Chicken,['Chicken'],
Chilaquiles,['Chilaquiles'],
Chips & Guacamole,"['Chips', 'Chips & Guac (V)', 'Chips & Guacamole', 'Chips And Guac', 'Side Gua', 'Chips Guac (V)', 'Chips Guacamole']",
Chorizo,['Chorizo'],
Churros,"['Churros', 'Churros Á La Mode', 'Churros A La Mode']",
Corn,['Corn'],
Duo,['Duo'],
El Reno,['El Reno'],
Extra Topping,['Extra Topping'],
Fries,"['Fries', 'N Fries', 'Side Fries', 'Super Fries']",
Guacky Wednesday,['Guacky Wednesday'],
Hot Dogs,['Hot Dogs'],
Jackfruit Taco,"['Chile Verde Jackfruits', 'Chile Verde Jackfruits Taco', 'Jackfruits']",
Meat Quesadilla,['Meat Quesadilla'],
Mesquite Grilled Tri-Tip,['Mesquite Grilled Try-Tip'],
Moroccan Glazed Chicken Breast,['Moroccan Glazed Chicken Breast'],
Mushrooms,['Mushrooms'],
Nachos,"['Borracho Nachos', 'Nachitos', 'Nachos', 'Nachos Fries']",
Nopal,['Nopal'],
Off The Menu Special,"['Off The Menu', 'Off The Menu Special']",
Oktoberfestspecial,['Oktoberfestspecial'],
Paleta,['Paleta'],
Pastor Taco,"['Pastor', 'Pastor Taco']",
Picadillo,"['Beyond Meat ""Picadillo""', 'Picadillo', 'Picadillo Vegano']",
Plain Quesadilla,['Plain Quesadilla'],
Pozole,['Pozole'],
Protein Quesadilla,['Protein Quesadilla'],
Quesadilla,['Quesadilla'],
Queso,['Queso'],
Red Rose Accordions,['Red Rose Accordions - Oven Roasted Garlic Butter Red Roe Potato Accordions'],
Rice,"['Mexican Rice', 'Rice', 'Rice Pilaf']",
Roasted Market Veggies,['Roasted Market Veggies'],
Shrimp Special,['Shrimp Special'],
Side Avocado,['Side Avocado'],
Sides,['Sides'],
Suadero Taco,"['Suadero', 'Suadero Taco']",
Surimi Salad,['Surimi Salad'],
Taco,"['1 Taco', 'Asada Taco', 'Chicken Taco', 'Pollo Taco', 'Shrimp Taco', 'Taco Of The Month', 'Taco Trio']",
Taco Tuesday,"['Taco Tuesday', 'Taco Tuesday Special']",
Taquitos,['Taquitos'],
Thirsty Thursday,['Thirsty Thusday'],
Vegan Taco,"['Vegan Asada Taco', 'Vegan Chicken Taco', 'Vegan Chorizo Taco', 'Vegan Picadillo Taco', 'Vegan Pollo Taco']",
Wings,"['12 Wings', '6 Wings', 'Wings']",
catering_takeout,"['Cali Package', 'Custom Menu For Beer Paring', 'Drop Off Taco Bar', 'Drop-Off Taco Bar', 'Guadalajara Package', 'On Site Taco Bar', 'On Site Taco Bar Drop Off', 'On-Site Service', 'Onsite Taco Bar Grilling', 'Taco Bar', 'Taco Bar Balance', 'Taco Bar Drop Off']",Catering/taco bar packages and services
to_remove,"['Bbq Menu', 'Boiler', 'Chaffing Dishes Rental', 'Delivery Fee', 'Deposit', 'Exahust Fans', 'Labor', 'Late Fee', 'Make Up Air', 'Pizza Event', 'Rush Fee', 'Service Fee', 'Service Fee “ Insurance, Equipment, Travel Expenses', 'Sinks', 'Taco Bar Deposit', 'Tax', 'Walk In Fridge 10X12 Feet', 'Warmer Kit', 'Beer', 'House Wine', 'Gift Card', 'Open Food']","Non-food items (fees, equipment rentals, taxes) to be removed from analysis"
