canonical_name,variants,reasoning
Add-on,"['Add Patty', 'Gluten Free Bun']",
BBQ Bacon,"['Barbecue Bacon', 'Bbq Bacon', 'Bbq Bacon (Hol Surcharge)']",
Better Than Beyond,"['Better Than Beyond', 'Better Than Beyond(Hol Surcharge)', 'Better Then Beyond!', 'Better Then Beyond! (V)']",
Chipotle Mayo,['Chipotle Mayo'],
Deluxe Cheeseburger,"['Deluxe Cheeseburger', 'Deluxe Cheeseburger(Hol Surcharge)']",
Double Chicken Cheese,"['Double Chicken Cheese', 'Double Chicken Cheese Hol Surcharge']",
Down South Loaded Fries,"['Down South Fries', 'Down South Loaded Fries', 'Down South Loaded Fries Hol Surcharge']",
Franks Buffalo,['Franks Buffalo'],
Free Cheezzzyy Fries,['Free Cheezzzyy Fries'],
Fries,"['Fries And Drink Combo', 'Qvm Fries', '6 Fries Can']",
Garlic Aioli,['Garlic Aioli'],
Hot Chicken Sandwich,"['Hot Chicken Sandwhich', 'Hot Chicken Sandwich', 'Hot Chicken Sandwich Hol Surcharge']",
Hot Dog,['Classic Hotdog'],
Hot Dust,['Hot Dust'],
Hot Shake Popcorn Chicken,"['Hot Shake Popcorn Chicken', 'Hot Shake Popcorn Chicken Hol Surcharge']",
Juicy Tenders,"['Juicy Tenders', 'Juicy Tenders Hol Surcharge']",
Kids Hotdog,['Kids Hotdog'],
Kids Nuggets,['Kids Nuggets'],
Netflix Chill,"['Netflix & ""Chill""', 'Netflix & Chill', 'Netflix ""Chill""']",
Pack,['The Family Pack'],
Pickles,"['Pickles', 'The Bronx Pickles']",
Quad Smash,"['Quad Smash', 'Quad Smash Hol Surcharge']",
Ranch Dressing,['Ranch Dressing'],
Seasoned Fries,"['Large Seasoned Fries', 'Seasoned Fries', 'Seasoned Fries Hol Surcharge', 'Seasoned Friesss', 'Seasoned Friess']",
Slaw,['Creamy Slaw'],
Slider Cheeseburger,"['Slider Cheese Burger', 'Slider Cheeseburger']",
Smashville,"['Smashville', 'Smashville Hol Surcharge', 'Smashville Sauce', 'The Smashville']",
Solo,"['Solo', 'The Solo', 'The Solo Life']",
Sriracha Mayo,['Sriracha Mayo'],
Sweet & Hot,"['Sweet & Hot', 'Sweet And Hot', 'Sweet Hot']",
Tenders,"['Kids Tenders', 'Tenders']",
Tomato Ketchup,['Tomato Ketchup'],
Wa-Aaa Bo-Al,['Wa-Aaa Bo-Al'],
to_remove,"['$6 Fries & Can', 'Egift Card', 'T Shirt Black', 'T Shirt White', 'Gift Card', 'Open Food', 'Sweet Hot']","Non-food items (gift cards, merchandise, promotions) to be removed from analysis"
Candy,['Candy'],
Side,['Side'],
