item_name,vegan,vegetarian,mpbamod,lamb,chunked_beef_or_pork,pulled_pork,beef_or_pork_burger,ground_meat,meatballs,sausage,bacon,breakfast_sausage_patty,unfried_chicken,fried_chicken,savory_dairy,sweet_dairy,egg
Awkward Aardvark,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bagel,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Griffith Street,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Egg Cheese,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Toby Toast,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Egg Meat Cheese,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Scone,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
Yeti Sandwich,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True
The Jesse Sandwich,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True
The Yeli Sandwich,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True
Coffee Cake,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
One Punch,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Paul,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True
Fullmetal Alchemist,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True
Egg Hummus Pesto,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Anam A Nom,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True
Build Your Own,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Garden Home,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Careless Whisper,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Dook,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Muffin,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Oatmeal,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Turkey Sandwich With Side Salad,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Avobagel,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tom Swanson,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True
