item_name,vegan,vegetarian,mpbamod,lamb,chunked_beef_or_pork,pulled_pork,beef_or_pork_burger,ground_meat,meatballs,sausage,bacon,breakfast_sausage_patty,unfried_chicken,fried_chicken,savory_dairy,sweet_dairy,egg
Pb & J Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Energy Bars,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Cranberry Chicken Wrap,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Chickpea Salad Wrap,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Buddha Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Vegan Breakfast Sandwich,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True
Zucchini Muffin,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Avocado Toast,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Acai Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Breakfast Wrap,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
Rice Krispie Bar,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Vegan Cookie Bar,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Carrot Cake Cupcake,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Breakfast Bowl,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
Peanut Butter Scotchy Bar,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Fudgy Brownie,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Chocolate Chip Cookie Bar,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Carrot Cake Smoothie Bowl,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Chickpea Salad Over Greens,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Veggie Grilled Cheese,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Tacos,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
Quesadilla,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Cranberry Chicken Salad,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
Granola,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Dragon Smoothie Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Black Bean Burger,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Fudgy Espresso Brownie,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Beyond Burger,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
Chia Pudding,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Chicken Salad Over Greens,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
Pumpkin Muffin,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Oatmeal,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Matcha Love Bowl,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Raspberry Bar,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Soup,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Tex Mex Burrito Bowl,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Sweet Potato Fries,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Muffins,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Specialty Smoothie Bowl,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Mediterranean Falafel Salad,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Asian Peanut Noodles,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Southwest Salad,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Lemon Bar,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Vegan Cupcake,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Chocolate Chip Brownie,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
The Big Salad,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Great Pumpkin Bowl,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Rainbow Wrap,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Molasses Cookies,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Green Goddess Smoothie Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
